Fecha,GasLicuado,Regular,Superior,Diesel,GasLicuado_log,GasLicuado_diff,Diesel_log,Diesel_diff,Regular_log,Regular_diff,Superior_log,Superior_diff
2016-04-01,357084.22,467472.2,545605.47,1149175.19,12.785726943303448,-0.041522601066851905,13.954555016922797,0.03712286461821712,13.055095160702109,-0.03939522907637283,13.209651411120957,-0.05372689725340152
2016-05-01,377629.02,468710.38,551000.79,1019984.4,12.841667564113939,0.05594062081049067,13.835297891025851,-0.11925712589694548,13.05774033002785,0.0026451693257403264,13.219491521890829,0.009840110769872012
2016-06-01,355848.99,450758.18,537583.25,888538.1,12.782261734448836,-0.05940582966510277,13.69733280691802,-0.13796508410783126,13.018686288432791,-0.03905404159505821,13.19483891071164,-0.02465261117918871
2016-07-01,350429.77,465270.48,562778.84,883716.04,12.766915594481135,-0.015346139967700623,13.691891068297576,-0.00544173862044417,13.050374192880113,0.03168790444732217,13.240642005789901,0.04580309507826108
2016-08-01,363859.51,485995.83,585748.5,866270.02,12.80452311057809,0.037607516096954896,13.671951940330304,-0.019939127967271375,13.093955322598907,0.043581129718793576,13.2806457955473,0.04000378975739949
2016-09-01,356426.23,456946.75,548491.65,877800.56,12.78388256895259,-0.02064054162550022,13.6851746941946,0.013222753864296166,13.03232214229952,-0.06163318029938658,13.214927335245173,-0.06571846030212747
2016-10-01,373503.78,476277.64,573754.73,916410.7,12.830683403985725,0.04680083503313526,13.728219905617275,0.04304521142267426,13.073756240484387,0.041434098184867096,13.259957284331625,0.04502994908645164
2016-11-01,372904.63,463726.21,547323.53,1019671.97,12.829077982287204,-0.00160542169852107,13.8349915354975,0.1067716298802246,13.047049592396558,-0.02670664808782952,13.212795369081952,-0.047161915249672504
2016-12-01,372690.46,524242.31,615251.51,1113827.1,12.82850348814484,-0.0005744941423646566,13.923312480960401,0.08832094546290215,13.169709280082428,0.12265968768586966,13.329786422537167,0.1169910534552141
2017-01-01,358706.82,477291.93,546212.16,1079339.3,12.790260676442498,-0.03824281170234123,13.891859652640095,-0.03145282832030638,13.075883595245774,-0.09382568483665388,13.210762750681287,-0.1190236718558797
2017-02-01,357497.97,453665.32,526888.94,1052536.01,12.7868849627784,-0.003375713664098612,13.866713057730118,-0.025146594909976727,13.025115024555504,-0.050768570690269854,13.174745065276747,-0.036017685404539534
2017-03-01,351791.93,523943.6,592249.34,1216423.42,12.770795171852505,-0.016089790925894576,14.011425488135021,0.144712430404903,13.169139323922483,0.14402429936697914,13.291683007626151,0.11693794234940391
2017-04-01,360957.7,500063.03,530345.96,1032813.29,12.796516055934312,0.025720884081806616,13.847796986363614,-0.16362850177140764,13.122489429459435,-0.046649894463048014,13.18128482729359,-0.11039818033256132
2017-05-01,377492.16,516884.37,588861.62,1034806.24,12.841305079243634,0.04478902330932222,13.849724759426584,0.0019277730629703171,13.155574472769903,0.03308504331046791,13.285946494453613,0.10466166716002334
2017-06-01,378328.46,478491.95,549378.05,897511.89,12.8435180390893,0.0022129598456661626,13.707381647167681,-0.14234311225890295,13.078394666327153,-0.07717980644275002,13.216542099169535,-0.06940439528407794
2017-07-01,369948.64,521730.41,607702.7,938887.64,12.821119464174485,-0.022398574914815228,13.752451091818738,0.04506944465105711,13.164906277516774,0.08651161118962136,13.31744106109531,0.10089896192577541
2017-08-01,385834.28,514086.57,604650.34,950188.14,12.863163229835122,0.04204376566063672,13.764415286074238,0.01196419425549955,13.150146954380066,-0.014759323136708247,13.312405619522037,-0.005035441573273403
2017-09-01,447373.59,492618.55,560892.67,894363.58,13.011149296345003,0.14798606650988155,13.70386766051811,-0.06054762555612747,13.107490421288016,-0.04265653309204964,13.23728484712792,-0.07512077239411674
2017-10-01,393901.92,512762.32,583658.83,935986.17,12.883857223280705,-0.12729207306429835,13.749355979709543,0.045488319191433035,13.14756770294973,0.04007728166171454,13.277071895896377,0.0397870487684564
2017-11-01,409332.86,510631.29,563345.61,1038598.26,12.922283942668654,0.038426719387949504,13.853382535058774,0.10402655534923078,13.14340306275799,-0.004164640191740787,13.241648590893092,-0.03542330500328461
